Description,Category
CASH DEPOSIT MUM W GHATKP,UPI/Transfer
BOOKMYSHOWGURGOANHRI,Entertainment
AI1 CASHBACK DHAMAAKA 2.0,Salary
UPI/DR/535143751598/ADITYA SO//**R1010@OKICICI//CAN23A507B16F65427884929EB74EEEBD36/17/12/2025 12:40:25,UPI/Transfer
ECS MANDATE SC CNRB7031912251009461,Others
BANK CHARGES HDFC,Others
UPI/CR/123456789/SWIGGY ORDER//**R1010@OKSBI//SBIN123456789/18/12/2025 14:20:30,Food
ATM WITHDRAWAL HDFC ATM GURGAON,Utilities
NEFT SALARY CREDIT HDFC BANK,Salary
UPI/DR/987654321/ZOMATO DELIVERY//**R1010@OKAXIS//AXIS987654321/19/12/2025 16:45:15,Food
RELIANCE DIGITAL LAPTOP PURCHASE,Shopping
IRCTC TRAIN TICKET BOOKING,Travel
PAYTM UPI RECHARGE MOBILE,Utilities
BHIM UPI TO FRIEND TRANSFER,UPI/Transfer
CASH WITHDRAWAL SBI ATM DELHI,Utilities
AMAZON INDIA ORDER TRK12345,Shopping
NETFLIX SUBSCRIPTION RENEWAL,Entertainment
APOLLO HOSPITAL BILL PAYMENT,Health
HOUSE RENT EMI HDFC,Rent
MUTUAL FUND SIP HDFC,Investment
UPI/DR/1122334455/UBER RIDE//**R1010@OKHDFC//HDFC1122334455/20/12/2025 10:15:20,Travel
ATM DEPOSIT ICICI ATM MUMBAI,UPI/Transfer
BONUS SALARY CREDIT ICICI,Salary
UPI/CR/5566778899/DMART GROCERY//**R1010@OKPNB//PNB5566778899/21/12/2025 11:30:45,Shopping
ELECTRICITY BILL BBPS PAYMENT,Utilities
MOVIE TICKET PVR CINEMAS,Entertainment
MEDICAL CHECKUP MAX HOSPITAL,Health
RENT PAYMENT LANDLORD,Rent
STOCK TRADING ZERODHA,Investment
UPI/DR/3344556677/FLIPKART SHOPPING//**R1010@OKKOTAK//KOTAK3344556677/22/12/2025 13:50:10,Shopping
BUS TICKET REDBUS BOOKING,Travel
ATM BALANCE INQUIRY HDFC,Utilities
SALARY NEFT TRANSFER SBI,Salary
UPI/CR/7788990011/PAYTM RECHARGE//**R1010@OKIDBI//IDBI7788990011/23/12/2025 15:25:35,Utilities
GAS CYLINDER REFIN INDRAPRASTHA,Utilities
OTT SUBSCRIPTION PRIME VIDEO,Entertainment
DOCTOR CONSULTATION PRACTO,Health
APARTMENT MAINTENANCE FEE,Rent
CRYPTO INVESTMENT COINBASE,Investment
UPI/DR/9900112233/MYNTRA CLOTHES//**R1010@OKRBL//RBL9900112233/24/12/2025 17:40:50,Shopping
TAXI RIDE OLA CAB,Travel
ATM PIN CHANGE SBI,Utilities
FREELANCE PAYMENT PAYPAL,Salary
UPI/CR/4455667788/BLINKIT GROCERY//**R1010@OKBOB//BOB4455667788/25/12/2025 19:55:05,Shopping
WATER BILL MUNICIPAL PAYMENT,Utilities
CONCERT TICKET BOOKMYSHOW,Entertainment
BLOOD TEST MAX LAB,Health
OFFICE RENT PAYMENT,Rent
BOND INVESTMENT SBI,Investment
UPI/DR/6677889900/URBANCLAP SERVICE//**R1010@OKCANARA//CANARA6677889900/26/12/2025 21:10:15,Shopping
AUTO RICKSHAW PAYMENT,Travel
ATM CASH WITHDRAWAL ICICI,Utilities
COMMISSION INCOME AFFILIATE,Salary
UPI/CR/8899001122/HEALTHMUG VITAMINS//**R1010@OKUNION//UNION8899001122/27/12/2025 22:25:30,Shopping
SEWAGE BILL PAYMENT,Utilities
MOVIE STREAMING HOTSTAR,Entertainment
PHYSIOTHERAPY SESSION,Health
WAREHOUSE RENT,Rent
INDEX FUND SIP HDFC,Investment
UPI/DR/0011223344/PEPPERFRY FURNITURE//**R1010@OKCENTRAL//CENTRAL0011223344/28/12/2025 23:40:45,Shopping
METRO CARD RECHARGE DMRC,Travel
ATM DEPOSIT HDFC,Utilities
DIVIDEND INCOME HDFC,Salary
UPI/CR/2233445566/OLX ELECTRONICS//**R1010@OKSOUTH//SOUTH2233445566/29/12/2025 00:55:00,Shopping
BIKE FUEL PETROL PUMP,Travel
ATM WITHDRAWAL SBI,Utilities
SIDE HUSTLE INCOME,Salary
UPI/DR/4455667788/BIGBASKET FRUITS//**R1010@OKINDIAN//INDIAN4455667788/30/12/2025 02:10:15,Shopping
INTERNET BILL BSNL,Utilities
YOUTUBE PREMIUM SUBSCRIPTION,Entertainment
DENTAL CHECKUP,Health
RETAIL SPACE RENT,Rent
EQUITY SAVINGS FUND,Investment
UPI/CR/6677889900/CROMA APPLIANCES//**R1010@OKBANDHAN//BANDHAN6677889900/31/12/2025 03:25:30,Shopping
FLIGHT BOOKING INDIGO,Travel
ATM BALANCE CHECK ICICI,Utilities
REFERRAL BONUS PAYTM,Salary
UPI/DR/8899001122/NYKAA COSMETICS//**R1010@OKUCO//UCO8899001122/01/01/2026 04:40:45,Shopping
BROADBAND BILL AIRTEL,Utilities
APPLE TV SUBSCRIPTION,Entertainment
EYE CHECKUP LENSKART,Health
COMMERCIAL RENT,Rent
HYBRID FUND MUTUAL,Investment
UPI/CR/0011223344/FOREVER21 FASHION//**R1010@OKDENA//DENA0011223344/02/01/2026 05:55:00,Shopping
CAB BOOKING UBER,Travel
ATM PIN RESET HDFC,Utilities
PROJECT BONUS SALARY,Salary
UPI/DR/2233445566/H&M CLOTHES//**R1010@OKJ&K//J&K2233445566/03/01/2026 07:10:15,Shopping
PROPERTY TAX MUNICIPAL,Utilities
SPOTIFY PREMIUM,Entertainment
MASSAGE THERAPY,Health
EVENT HALL RENT,Rent
BALANCED ADVANTAGE FUND,Investment
UPI/CR/4455667788/ZARA FASHION//**R1010@OKKARUR//KARUR4455667788/04/01/2026 08:25:30,Shopping
HIGHWAY TOLL PAYMENT,Travel
ATM WITHDRAWAL AXIS,Utilities
CROWDFUNDING REWARD,Salary
UPI/DR/6677889900/LEVIS JEANS//**R1010@OKTAMILNAD//TAMILNAD6677889900/05/01/2026 09:40:45,Shopping
COUNCIL TAX PAYMENT,Utilities
AUDIBLE BOOK SUBSCRIPTION,Entertainment
ACUPUNCTURE SESSION,Health
MALL KIOSK RENT,Rent
ARBITRAGE FUND,Investment
UPI/CR/8899001122/GAP CLOTHING//**R1010@OKVIJAYA//VIJAYA8899001122/06/01/2026 10:55:00,Shopping
FERRY TICKET,Travel
ATM DEPOSIT SBI,Utilities
USER TESTING INCOME,Salary
UPI/DR/0011223344/ABERCROMBIE SHIRTS//**R1010@OKCITI//CITI0011223344/07/01/2026 12:10:15,Shopping
HEATING BILL,Utilities
BRITBOX SUBSCRIPTION,Entertainment
CHIROPRACTIC CARE,Health
STUDIO APARTMENT RENT,Rent
CORPORATE BOND FUND,Investment
UPI/CR/2233445566/AEROPOSTALE//**R1010@OKFEDERAL//FEDERAL2233445566/08/01/2026 13:25:30,Shopping
BOAT CRUISE BOOKING,Travel
ATM CASH DEPOSIT ICICI,Utilities
INFLUENCER EARNINGS,Salary
UPI/DR/4455667788/UNIQLO APPAREL//**R1010@OKDHANLAXMI//DHANLAXMI4455667788/09/01/2026 14:40:45,Shopping
ENVIRONMENTAL FEE,Utilities
ESPN+ SPORTS,Entertainment
PODIATRY TREATMENT,Health
BEACH HOUSE RENT,Rent
ULTRA-SHORT TERM FUND,Investment
UPI/CR/6677889900/OLD NAVY//**R1010@OKING//ING6677889900/10/01/2026 15:55:00,Shopping
HELICOPTER CHARTER,Travel
ATM WITHDRAWAL HDFC,Utilities
ROYALTIES INCOME,Salary
UPI/DR/8899001122/PF CHANG'S//**R1010@OKKARNATAKA//KARNATAKA8899001122/11/01/2026 17:10:15,Shopping
CARBON OFFSET FEE,Utilities
SHOWTIME SUBSCRIPTION,Entertainment
HOLISTIC HEALING,Health
VINEYARD RENT,Rent
SHORT-TERM DEBT FUND,Investment
UPI/CR/0011223344/TACO BELL//**R1010@OKORIENTAL//ORIENTAL0011223344/12/01/2026 18:25:30,Shopping
RV RENTAL,Travel
ATM DEPOSIT AXIS,Utilities
AFFILIATE MARKETING INCOME,Salary
UPI/DR/2233445566/CHILI'S RESTAURANT//**R1010@OKPUNJAB//PUNJAB2233445566/13/01/2026 19:40:45,Shopping
HAZARDOUS WASTE FEE,Utilities
PEACOCK STREAMING,Entertainment
MEDITATION CLASS,Health
FARMHOUSE RENT,Rent
LIQUID FUND INVESTMENT,Investment
UPI/CR/4455667788/IN-N-OUT//**R1010@OKANDHRA//ANDHRA4455667788/14/01/2026 20:55:00,Shopping
LIMOUISINE SERVICE,Travel
ATM WITHDRAWAL SBI,Utilities
CONTENT CREATION PAY,Salary
UPI/DR/6677889900/PANERA BREAD//**R1010@OKTELANGANA//TELANGANA6677889900/15/01/2026 22:10:15,Shopping
STORMWATER FEE,Utilities
ROKU CHANNEL SUBSCRIPTION,Entertainment
YOGA SESSION,Health
CO-WORKING SPACE RENT,Rent
MONEY MARKET FUND,Investment
UPI/CR/8899001122/WENDYS//**R1010@OKMAHARASHTRA//MAHARASHTRA8899001122/16/01/2026 23:25:30,Shopping
HOT AIR BALLOON RIDE,Travel
ATM DEPOSIT HDFC,Utilities
STOCK PHOTOGRAPHY SALES,Salary
UPI/DR/0011223344/ARBYS//**R1010@OKUTTAR//UTTAR0011223344/17/01/2026 00:40:45,Shopping
FLOOD CONTROL FEE,Utilities
VIMEO ON DEMAND,Entertainment
CRYSTAL HEALING,Health
VINEYARD RENT,Rent
AGGRESSIVE HYBRID FUND,Investment
UPI/CR/2233445566/CAFE COFFEE DAY//**R1010@OKRAJASTHAN//RAJASTHAN2233445566/18/01/2026 01:55:00,Shopping
INTERCITY BUS,Travel
ATM WITHDRAWAL ICICI,Utilities
SURVEY PARTICIPATION PAY,Salary
UPI/DR/4455667788/BARBEQUE NATION//**R1010@OKGUJARAT//GUJARAT4455667788/19/01/2026 03:10:15,Shopping
RECYCLING FEE,Utilities
TUBI FREE STREAMING,Entertainment
SPA TREATMENT,Health
INDUSTRIAL RENT,Rent
CONSERVATIVE HYBRID FUND,Investment
UPI/CR/6677889900/TGI FRIDAYS//**R1010@OKMADHYA//MADHYA6677889900/20/01/2026 04:25:30,Shopping
CABLE CAR RIDE,Travel
ATM DEPOSIT SBI,Utilities
AD REVENUE,Salary
UPI/DR/8899001122/OUTBACK STEAKHOUSE//**R1010@OKCHHATTISGARH//CHHATTISGARH8899001122/21/01/2026 05:40:45,Shopping
WASTE MANAGEMENT FEE,Utilities
FUBO TV SUBSCRIPTION,Entertainment
REIKI HEALING,Health
RETAIL OUTLET RENT,Rent
DYNAMIC BOND FUND,Investment
UPI/CR/0011223344/RED ROBIN//**R1010@OKJHARKHAND//JHARKHAND0011223344/22/01/2026 06:55:00,Shopping
AIRPORT TAXI,Travel
ATM WITHDRAWAL AXIS,Utilities
PASSIVE INCOME DIVIDENDS,Salary
UPI/DR/2233445566/MCDONALDS BURGER//**R1010@OKODISHA//ODISHA2233445566/23/01/2026 08:10:15,Shopping
ENERGY BILL SURCHARGE,Utilities
PARAMOUNT+ SUBSCRIPTION,Entertainment
WELLNESS RETREAT,Health
PARKING RENT,Rent
FOF INVESTMENT,Investment
UPI/CR/4455667788/STARBUCKS COFFEE//**R1010@OKBIHAR//BIHAR4455667788/24/01/2026 09:25:30,Shopping
HORSEBACK RIDING,Travel
ATM DEPOSIT HDFC,Utilities
GIG ECONOMY EARNINGS,Salary
UPI/DR/6677889900/DOMINOS PIZZA//**R1010@OKASSAM//ASSAM6677889900/25/01/2026 10:40:45,Food
GAS SURCHARGE,Utilities
HBO MAX SUBSCRIPTION,Entertainment
NUTRITIONIST CONSULTATION,Health
SHOP RENT PAYMENT,Rent
MULTI-ASSET FUND,Investment
UPI/CR/8899001122/KFC CHICKEN//**R1010@OKMEGHALAYA//MEGHALAYA8899001122/26/01/2026 11:55:00,Food
TRAIN RESERVATION,Travel
ATM WITHDRAWAL HDFC,Utilities
FREELANCE GIG PAYMENT,Salary
UPI/DR/0011223344/PIZZA HUT DELIVERY//**R1010@OKMANIPUR//MANIPUR0011223344/27/01/2026 13:10:15,Food
TRASH COLLECTION FEE,Utilities
DISNEY+ SUBSCRIPTION,Entertainment
DERMATOLOGY CONSULTATION,Health
CONDO RENT,Rent
DEBT FUND INVESTMENT,Investment
UPI/CR/2233445566/EATFIT MEAL//**R1010@OKMIZORAM//MIZORAM2233445566/28/01/2026 14:25:30,Food
HELICOPTER RENTAL,Travel
ATM DEPOSIT ICICI,Utilities
REFERRAL INCOME,Salary
UPI/DR/4455667788/COSTA COFFEE//**R1010@OKNAGALAND//NAGALAND4455667788/29/01/2026 15:40:45,Food
UTILITY SURCHARGE,Utilities
SLING TV SUBSCRIPTION,Entertainment
AYURVEDIC TREATMENT,Health
STUDIO RENT,Rent
CORPORATE BOND FUND,Investment
UPI/CR/6677889900/CHICK-FIL-A//**R1010@OKSIKKIM//SIKKIM6677889900/30/01/2026 16:55:00,Food
BOAT RENTAL,Travel
ATM WITHDRAWAL SBI,Utilities
BONUS PAYMENT,Salary
UPI/DR/8899001122/PF CHANG'S//**R1010@OKTRIPURA//TRIPURA8899001122/31/01/2026 18:10:15,Food
ENERGY SURCHARGE,Utilities
ESPN+ SUBSCRIPTION,Entertainment
PODIATRY CARE,Health
EVENT SPACE RENT,Rent
BALANCED FUND,Investment
UPI/CR     
